tytuł;PISMO;WSKAŹNIK;G;P;W;WYNIK
100 Rad;STORAD;Druk i E-wydania;0,0;K;1,0;0,020719636
100 Rad;STORAD;Druk i E-wydania;0,0;K;2,0;0,059132371
100 Rad;STORAD;Druk i E-wydania;0,0;K;3,0;0,090750775
100 Rad;STORAD;Druk i E-wydania;0,0;K;4,0;0,221655758
100 Rad;STORAD;Druk i E-wydania;0,0;K;5,0;0,418018088
100 Rad;STORAD;Druk i E-wydania;0,0;M;1,0;0,012258282
100 Rad;STORAD;Druk i E-wydania;0,0;M;2,0;0,016230004
100 Rad;STORAD;Druk i E-wydania;0,0;M;3,0;0,041432798
100 Rad;STORAD;Druk i E-wydania;0,0;M;4,0;0,046178148
100 Rad;STORAD;Druk i E-wydania;0,0;M;5,0;0,07362414
100 Rad;STORAD;Druk i E-wydania;1,0;;;0,37
100 Rad;STORAD;Druk i E-wydania;2,0;;;0,71
100 Rad;STORAD;Druk i E-wydania;3,0;;;0,35
100 Rad;STORAD;Druk i E-wydania;4,0;;;0,17
100 Rad;STORAD;www;1,0;;;0,46
100 Rad;STORAD;www;2,0;;;0,78
100 Rad;STORAD;www;3,0;;;0,35
100 Rad;STORAD;www;4,0;;;0,26
Cała Ty;CALATY;Druk i E-wydania;0,0;K;1,0;0,04062464804062465
Cała Ty;CALATY;Druk i E-wydania;0,0;K;2,0;0,1463612161463612
Cała Ty;CALATY;Druk i E-wydania;0,0;K;3,0;0,1618836941618837
Cała Ty;CALATY;Druk i E-wydania;0,0;K;4,0;0,26671665926671667
Cała Ty;CALATY;Druk i E-wydania;0,0;K;5,0;0,23621536523621536
Cała Ty;CALATY;Druk i E-wydania;0,0;M;1,0;0,05121667705121668
Cała Ty;CALATY;Druk i E-wydania;0,0;M;2,0;0,024213565024213565
Cała Ty;CALATY;Druk i E-wydania;0,0;M;3,0;0,006351468006351468
Cała Ty;CALATY;Druk i E-wydania;0,0;M;4,0;0,05117918305117918
Cała Ty;CALATY;Druk i E-wydania;0,0;M;5,0;0,015237524015237524
Cała Ty;CALATY;Druk i E-wydania;1,0;;;0,41
Cała Ty;CALATY;Druk i E-wydania;2,0;;;0,58
Cała Ty;CALATY;Druk i E-wydania;3,0;;;0,2
Cała Ty;CALATY;Druk i E-wydania;4,0;;;0,28
Cała Ty;CALATY;www;1,0;;;0,46
Cała Ty;CALATY;www;2,0;;;0,78
Cała Ty;CALATY;www;3,0;;;0,35
Cała Ty;CALATY;www;4,0;;;0,26
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;K;1,0;0,02971634
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;K;2,0;0,082310433
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;K;3,0;0,191445493
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;K;4,0;0,207598018
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;K;5,0;0,27253037
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;M;1,0;0,024891828
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;M;2,0;0,023346159
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;M;3,0;0,038787876
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;M;4,0;0,067372769
Chwila dla Ciebie;CHWILA;Druk i E-wydania;0,0;M;5,0;0,062000714
Chwila dla Ciebie;CHWILA;Druk i E-wydania;1,0;;;0,37
Chwila dla Ciebie;CHWILA;Druk i E-wydania;2,0;;;0,67
Chwila dla Ciebie;CHWILA;Druk i E-wydania;3,0;;;0,28
Chwila dla Ciebie;CHWILA;Druk i E-wydania;4,0;;;0,28
Chwila dla Ciebie;CHWILA;www;1,0;;;0,46
Chwila dla Ciebie;CHWILA;www;2,0;;;0,78
Chwila dla Ciebie;CHWILA;www;3,0;;;0,35
Chwila dla Ciebie;CHWILA;www;4,0;;;0,26
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;K;1,0;0,016176154
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;K;2,0;0,055668548
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;K;3,0;0,114900677
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;K;4,0;0,092485026
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;K;5,0;0,479501874
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;M;1,0;0,0
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;M;2,0;0,084733055
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;M;3,0;0,090813117
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;M;4,0;0,044559831
Dobry Tydzień;DOBRTY;Druk i E-wydania;0,0;M;5,0;0,021161718
Dobry Tydzień;DOBRTY;Druk i E-wydania;1,0;;;0,2
Dobry Tydzień;DOBRTY;Druk i E-wydania;2,0;;;0,56
Dobry Tydzień;DOBRTY;Druk i E-wydania;3,0;;;0,28
Dobry Tydzień;DOBRTY;Druk i E-wydania;4,0;;;0,21
Dobry Tydzień;DOBRTY;www;1,0;;;0,46
Dobry Tydzień;DOBRTY;www;2,0;;;0,78
Dobry Tydzień;DOBRTY;www;3,0;;;0,35
Dobry Tydzień;DOBRTY;www;4,0;;;0,26
Dziennik Bałtycki;DZBAL;Druk i E-wydania;0,0;K;1,0;0,05494592089010816
Dziennik Bałtycki;DZBAL;Druk i E-wydania;0,0;K;2,0;0,10042655679914689
Dziennik Bałtycki;DZBAL;Druk i E-wydania;0,0;K;3,0;0,07826586084346829
Dziennik Bałtycki;DZBAL;Druk i E-wydania;0,0;K;4,0;0,17066774665866452
Dziennik Bałtycki;DZBAL;Druk i E-wydania;0,0;K;5,0;0,12486072175027856
